(('obs0:6', 'obs1:0'), 1):   -9.0 
(('obs0:6', 'obs1:1'), 0):   -9.0 
(('obs0:6', 'obs1:1'), 1):   80.0 
(('obs0:6', 'obs1:2'), 0):   102.0 
(('obs0:6', 'obs1:2'), 1):   -9.0 
(('obs0:6', 'obs1:3'), 0):   -9.0 
(('obs0:6', 'obs1:3'), 1):   88.0 
(('obs0:6', 'obs1:4'), 0):   119.0 
(('obs0:6', 'obs1:4'), 1):   1.0 
(('obs0:6', 'obs1:5'), 0):   1.0 
(('obs0:6', 'obs1:5'), 1):   114.0 
(('obs0:6', 'obs1:6'), 0):   87.0 
(('obs0:6', 'obs1:6'), 1):   1.0 
(('obs0:6', 'obs1:7'), 0):   -9.0 
(('obs0:6', 'obs1:7'), 1):   89.0 
(('obs0:6', 'obs1:8'), 0):   107.0 
(('obs0:6', 'obs1:8'), 1):   1.0 
(('obs0:6', 'obs1:9'), 0):   1.0 
(('obs0:6', 'obs1:9'), 1):   95.0 
(('obs0:7', 'obs1:0'), 0):   -9.0 
(('obs0:7', 'obs1:0'), 1):   96.0 
(('obs0:7', 'obs1:1'), 0):   94.0 
(('obs0:7', 'obs1:1'), 1):   -9.0 
(('obs0:7', 'obs1:2'), 0):   -9.0 
(('obs0:7', 'obs1:2'), 1):   81.0 
(('obs0:7', 'obs1:3'), 0):   86.0 
(('obs0:7', 'obs1:3'), 1):   1.0 
(('obs0:7', 'obs1:4'), 0):   -9.0 
(('obs0:7', 'obs1:4'), 1):   97.0 
(('obs0:7', 'obs1:5'), 0):   105.0 
(('obs0:7', 'obs1:5'), 1):   -9.0 
(('obs0:7', 'obs1:6'), 0):   1.0 
(('obs0:7', 'obs1:6'), 1):   106.0 
(('obs0:7', 'obs1:7'), 0):   98.0 
(('obs0:7', 'obs1:7'), 1):   1.0 
(('obs0:7', 'obs1:8'), 0):   -9.0 
(('obs0:7', 'obs1:8'), 1):   99.0 
(('obs0:7', 'obs1:9'), 0):   101.0 
(('obs0:7', 'obs1:9'), 1):   1.0 
(('obs0:8', 'obs1:0'), 0):   92.0 
(('obs0:8', 'obs1:0'), 1):   -9.0 
(('obs0:8', 'obs1:1'), 0):   -9.0 
(('obs0:8', 'obs1:1'), 1):   91.0 
(('obs0:8', 'obs1:2'), 0):   90.0 
(('obs0:8', 'obs1:2'), 1):   -9.0 
(('obs0:8', 'obs1:3'), 0):   -9.0 
(('obs0:8', 'obs1:3'), 1):   76.0 
(('obs0:8', 'obs1:4'), 0):   77.0 
(('obs0:8', 'obs1:4'), 1):   -9.0 
(('obs0:8', 'obs1:5'), 0):   1.0 
(('obs0:8', 'obs1:5'), 1):   84.0 
(('obs0:8', 'obs1:6'), 0):   101.0 
(('obs0:8', 'obs1:6'), 1):   -9.0 
(('obs0:8', 'obs1:7'), 0):   -9.0 
(('obs0:8', 'obs1:7'), 1):   79.0 
(('obs0:8', 'obs1:8'), 0):   104.0 
(('obs0:8', 'obs1:8'), 1):   -9.0 
(('obs0:8', 'obs1:9'), 0):   1.0 
(('obs0:8', 'obs1:9'), 1):   102.0 
(('obs0:9', 'obs1:0'), 0):   1.0 
(('obs0:9', 'obs1:0'), 1):   102.0 
(('obs0:9', 'obs1:1'), 0):   104.0 
(('obs0:9', 'obs1:1'), 1):   -9.0 
(('obs0:9', 'obs1:2'), 0):   -9.0 
(('obs0:9', 'obs1:2'), 1):   94.0 
(('obs0:9', 'obs1:3'), 0):   110.0 
(('obs0:9', 'obs1:3'), 1):   1.0 
(('obs0:9', 'obs1:4'), 0):   1.0 
(('obs0:9', 'obs1:4'), 1):   87.0 
(('obs0:9', 'obs1:5'), 0):   91.0 
(('obs0:9', 'obs1:5'), 1):   1.0 
(('obs0:9', 'obs1:6'), 0):   1.0 
(('obs0:9', 'obs1:6'), 1):   70.0 
(('obs0:9', 'obs1:7'), 0):   96.0 
(('obs0:9', 'obs1:7'), 1):   1.0 
(('obs0:9', 'obs1:8'), 0):   -9.0 
(('obs0:9', 'obs1:8'), 1):   83.0 
(('obs0:9', 'obs1:9'), 0):   92.0 
(('obs0:9', 'obs1:9'), 1):   -9.0 
(('obs0:0', 'obs2:0'), 0):   -9.0 
(('obs0:0', 'obs2:0'), 1):   -7.0 
(('obs0:0', 'obs2:1'), 0):   -9.0 
(('obs0:0', 'obs2:1'), 1):   6.0 
(('obs0:0', 'obs2:2'), 0):   -7.0 
(('obs0:0', 'obs2:2'), 1):   -9.0 
(('obs0:0', 'obs2:3'), 0):   -9.0 
(('obs0:0', 'obs2:3'), 1):   -8.0 
(('obs0:0', 'obs2:4'), 0):   -9.0 
(('obs0:0', 'obs2:4'), 1):   -8.0 
(('obs0:0', 'obs2:5'), 0):   1.0 
(('obs0:0', 'obs2:5'), 1):   -9.0 
(('obs0:0', 'obs2:6'), 0):   -8.0 
(('obs0:0', 'obs2:6'), 1):   -9.0 
