(('obs0:0', 'obs1:0'), 0):   88.0 
(('obs0:0', 'obs1:0'), 1):   -9.0 
(('obs0:0', 'obs1:1'), 0):   -9.0 
(('obs0:0', 'obs1:1'), 1):   91.0 
(('obs0:0', 'obs1:2'), 0):   97.0 
(('obs0:0', 'obs1:2'), 1):   -9.0 
(('obs0:0', 'obs1:3'), 0):   -9.0 
(('obs0:0', 'obs1:3'), 1):   92.0 
(('obs0:0', 'obs1:4'), 0):   95.0 
(('obs0:0', 'obs1:4'), 1):   1.0 
(('obs0:0', 'obs1:5'), 0):   -9.0 
(('obs0:0', 'obs1:5'), 1):   100.0 
(('obs0:0', 'obs1:6'), 0):   82.0 
(('obs0:0', 'obs1:6'), 1):   -9.0 
(('obs0:0', 'obs1:7'), 0):   -9.0 
(('obs0:0', 'obs1:7'), 1):   107.0 
(('obs0:0', 'obs1:8'), 0):   105.0 
(('obs0:0', 'obs1:8'), 1):   -9.0 
(('obs0:0', 'obs1:9'), 0):   -9.0 
(('obs0:0', 'obs1:9'), 1):   115.0 
(('obs0:1', 'obs1:0'), 0):   1.0 
(('obs0:1', 'obs1:0'), 1):   101.0 
(('obs0:1', 'obs1:1'), 0):   112.0 
(('obs0:1', 'obs1:1'), 1):   1.0 
(('obs0:1', 'obs1:2'), 0):   -9.0 
(('obs0:1', 'obs1:2'), 1):   90.0 
(('obs0:1', 'obs1:3'), 0):   100.0 
(('obs0:1', 'obs1:3'), 1):   1.0 
(('obs0:1', 'obs1:4'), 0):   -9.0 
(('obs0:1', 'obs1:4'), 1):   93.0 
(('obs0:1', 'obs1:5'), 0):   93.0 
(('obs0:1', 'obs1:5'), 1):   -9.0 
(('obs0:1', 'obs1:6'), 0):   -9.0 
(('obs0:1', 'obs1:6'), 1):   87.0 
(('obs0:1', 'obs1:7'), 0):   106.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   88.0 
