(('obs0:0', 'obs1:0'), 0):   96.0 
(('obs0:0', 'obs1:0'), 1):   -9.0 
(('obs0:0', 'obs1:1'), 0):   -9.0 
(('obs0:0', 'obs1:1'), 1):   97.0 
(('obs0:0', 'obs1:2'), 0):   91.0 
(('obs0:0', 'obs1:2'), 1):   1.0 
(('obs0:0', 'obs1:3'), 0):   -9.0 
(('obs0:0', 'obs1:3'), 1):   107.0 
(('obs0:0', 'obs1:4'), 0):   87.0 
(('obs0:0', 'obs1:4'), 1):   -9.0 
(('obs0:0', 'obs1:5'), 0):   -9.0 
(('obs0:0', 'obs1:5'), 1):   88.0 
(('obs0:0', 'obs1:6'), 0):   101.0 
(('obs0:0', 'obs1:6'), 1):   1.0 
(('obs0:0', 'obs1:7'), 0):   -9.0 
(('obs0:0', 'obs1:7'), 1):   90.0 
(('obs0:0', 'obs1:8'), 0):   91.0 
(('obs0:0', 'obs1:8'), 1):   1.0 
(('obs0:0', 'obs1:9'), 0):   -9.0 
(('obs0:0', 'obs1:9'), 1):   107.0 
(('obs0:1', 'obs1:0'), 0):   -9.0 
(('obs0:1', 'obs1:0'), 1):   85.0 
(('obs0:1', 'obs1:1'), 0):   86.0 
(('obs0:1', 'obs1:1'), 1):   1.0 
(('obs0:1', 'obs1:2'), 0):   -9.0 
(('obs0:1', 'obs1:2'), 1):   98.0 
(('obs0:1', 'obs1:3'), 0):   75.0 
(('obs0:1', 'obs1:3'), 1):   -9.0 
(('obs0:1', 'obs1:4'), 0):   -9.0 
(('obs0:1', 'obs1:4'), 1):   98.0 
(('obs0:1', 'obs1:5'), 0):   82.0 
(('obs0:1', 'obs1:5'), 1):   1.0 
(('obs0:1', 'obs1:6'), 0):   1.0 
(('obs0:1', 'obs1:6'), 1):   96.0 
(('obs0:1', 'obs1:7'), 0):   86.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   95.0 
