(('obs0:0', 'obs1:0'), 0):   99.0 
(('obs0:0', 'obs1:0'), 1):   1.0 
(('obs0:0', 'obs1:1'), 0):   1.0 
(('obs0:0', 'obs1:1'), 1):   93.0 
(('obs0:0', 'obs1:2'), 0):   90.0 
(('obs0:0', 'obs1:2'), 1):   1.0 
(('obs0:0', 'obs1:3'), 0):   -9.0 
(('obs0:0', 'obs1:3'), 1):   90.0 
(('obs0:0', 'obs1:4'), 0):   96.0 
(('obs0:0', 'obs1:4'), 1):   -9.0 
(('obs0:0', 'obs1:5'), 0):   -9.0 
(('obs0:0', 'obs1:5'), 1):   89.0 
(('obs0:0', 'obs1:6'), 0):   92.0 
(('obs0:0', 'obs1:6'), 1):   -9.0 
(('obs0:0', 'obs1:7'), 0):   -9.0 
(('obs0:0', 'obs1:7'), 1):   91.0 
(('obs0:0', 'obs1:8'), 0):   89.0 
(('obs0:0', 'obs1:8'), 1):   -9.0 
(('obs0:0', 'obs1:9'), 0):   -9.0 
(('obs0:0', 'obs1:9'), 1):   98.0 
(('obs0:1', 'obs1:0'), 0):   1.0 
(('obs0:1', 'obs1:0'), 1):   103.0 
(('obs0:1', 'obs1:1'), 0):   109.0 
(('obs0:1', 'obs1:1'), 1):   -9.0 
(('obs0:1', 'obs1:2'), 0):   1.0 
(('obs0:1', 'obs1:2'), 1):   98.0 
(('obs0:1', 'obs1:3'), 0):   110.0 
(('obs0:1', 'obs1:3'), 1):   1.0 
(('obs0:1', 'obs1:4'), 0):   1.0 
(('obs0:1', 'obs1:4'), 1):   98.0 
(('obs0:1', 'obs1:5'), 0):   92.0 
(('obs0:1', 'obs1:5'), 1):   -9.0 
(('obs0:1', 'obs1:6'), 0):   -9.0 
(('obs0:1', 'obs1:6'), 1):   92.0 
(('obs0:1', 'obs1:7'), 0):   115.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   88.0 
(('obs0:1', 'obs1:9'), 0):   106.0 
(('obs0:1', 'obs1:9'), 1):   -9.0 
(('obs0:2', 'obs1:0'), 0):   88.0 
(('obs0:2', 'obs1:0'), 1):   -9.0 
(('obs0:2', 'obs1:1'), 0):   -9.0 
(('obs0:2', 'obs1:1'), 1):   112.0 
(('obs0:2', 'obs1:2'), 0):   87.0 
(('obs0:2', 'obs1:2'), 1):   -9.0 
(('obs0:2', 'obs1:3'), 0):   1.0 
(('obs0:2', 'obs1:3'), 1):   98.0 
(('obs0:2', 'obs1:4'), 0):   105.0 
(('obs0:2', 'obs1:4'), 1):   -9.0 
(('obs0:2', 'obs1:5'), 0):   -9.0 
(('obs0:2', 'obs1:5'), 1):   96.0 
(('obs0:2', 'obs1:6'), 0):   123.0 
(('obs0:2', 'obs1:6'), 1):   1.0 
(('obs0:2', 'obs1:7'), 0):   1.0 
(('obs0:2', 'obs1:7'), 1):   98.0 
(('obs0:2', 'obs1:8'), 0):   98.0 
(('obs0:2', 'obs1:8'), 1):   -9.0 
(('obs0:2', 'obs1:9'), 0):   1.0 
(('obs0:2', 'obs1:9'), 1):   111.0 
(('obs0:3', 'obs1:0'), 0):   -9.0 
(('obs0:3', 'obs1:0'), 1):   95.0 
(('obs0:3', 'obs1:1'), 0):   84.0 
(('obs0:3', 'obs1:1'), 1):   -9.0 
(('obs0:3', 'obs1:2'), 0):   -9.0 
(('obs0:3', 'obs1:2'), 1):   98.0 
(('obs0:3', 'obs1:3'), 0):   93.0 
(('obs0:3', 'obs1:3'), 1):   -9.0 
(('obs0:3', 'obs1:4'), 0):   -9.0 
(('obs0:3', 'obs1:4'), 1):   89.0 
(('obs0:3', 'obs1:5'), 0):   85.0 
