(('obs0:0', 'obs1:0'), 0):   82.0 
(('obs0:0', 'obs1:0'), 1):   1.0 
(('obs0:0', 'obs1:1'), 0):   1.0 
(('obs0:0', 'obs1:1'), 1):   91.0 
(('obs0:0', 'obs1:2'), 0):   101.0 
(('obs0:0', 'obs1:2'), 1):   -9.0 
(('obs0:0', 'obs1:3'), 0):   -9.0 
(('obs0:0', 'obs1:3'), 1):   88.0 
(('obs0:0', 'obs1:4'), 0):   100.0 
(('obs0:0', 'obs1:4'), 1):   -9.0 
(('obs0:0', 'obs1:5'), 0):   1.0 
(('obs0:0', 'obs1:5'), 1):   84.0 
(('obs0:0', 'obs1:6'), 0):   105.0 
(('obs0:0', 'obs1:6'), 1):   -9.0 
(('obs0:0', 'obs1:7'), 0):   -9.0 
(('obs0:0', 'obs1:7'), 1):   98.0 
(('obs0:0', 'obs1:8'), 0):   86.0 
(('obs0:0', 'obs1:8'), 1):   -9.0 
(('obs0:0', 'obs1:9'), 0):   -9.0 
(('obs0:0', 'obs1:9'), 1):   102.0 
(('obs0:1', 'obs1:0'), 0):   1.0 
(('obs0:1', 'obs1:0'), 1):   107.0 
(('obs0:1', 'obs1:1'), 0):   104.0 
(('obs0:1', 'obs1:1'), 1):   -9.0 
(('obs0:1', 'obs1:2'), 0):   -9.0 
(('obs0:1', 'obs1:2'), 1):   94.0 
(('obs0:1', 'obs1:3'), 0):   93.0 
(('obs0:1', 'obs1:3'), 1):   -9.0 
(('obs0:1', 'obs1:4'), 0):   -9.0 
(('obs0:1', 'obs1:4'), 1):   99.0 
(('obs0:1', 'obs1:5'), 0):   89.0 
(('obs0:1', 'obs1:5'), 1):   -9.0 
(('obs0:1', 'obs1:6'), 0):   -9.0 
(('obs0:1', 'obs1:6'), 1):   84.0 
(('obs0:1', 'obs1:7'), 0):   95.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   94.0 
(('obs0:1', 'obs1:9'), 0):   73.0 
(('obs0:1', 'obs1:9'), 1):   -9.0 
(('obs0:2', 'obs1:0'), 0):   88.0 
(('obs0:2', 'obs1:0'), 1):   -9.0 
(('obs0:2', 'obs1:1'), 0):   -9.0 
(('obs0:2', 'obs1:1'), 1):   97.0 
(('obs0:2', 'obs1:2'), 0):   112.0 
(('obs0:2', 'obs1:2'), 1):   -9.0 
(('obs0:2', 'obs1:3'), 0):   -9.0 
(('obs0:2', 'obs1:3'), 1):   114.0 
(('obs0:2', 'obs1:4'), 0):   94.0 
(('obs0:2', 'obs1:4'), 1):   -9.0 
(('obs0:2', 'obs1:5'), 0):   -9.0 
(('obs0:2', 'obs1:5'), 1):   100.0 
(('obs0:2', 'obs1:6'), 0):   85.0 
(('obs0:2', 'obs1:6'), 1):   -9.0 
(('obs0:2', 'obs1:7'), 0):   -9.0 
(('obs0:2', 'obs1:7'), 1):   89.0 
(('obs0:2', 'obs1:8'), 0):   90.0 
(('obs0:2', 'obs1:8'), 1):   -9.0 
(('obs0:2', 'obs1:9'), 0):   1.0 
(('obs0:2', 'obs1:9'), 1):   99.0 
(('obs0:3', 'obs1:0'), 0):   -9.0 
(('obs0:3', 'obs1:0'), 1):   108.0 
(('obs0:3', 'obs1:1'), 0):   93.0 
(('obs0:3', 'obs1:1'), 1):   -9.0 
(('obs0:3', 'obs1:2'), 0):   1.0 
(('obs0:3', 'obs1:2'), 1):   89.0 
(('obs0:3', 'obs1:3'), 0):   80.0 
(('obs0:3', 'obs1:3'), 1):   -9.0 
(('obs0:3', 'obs1:4'), 0):   -9.0 
(('obs0:3', 'obs1:4'), 1):   83.0 
