(('obs0:0', 'obs1:0'), 0):   83.0 
(('obs0:0', 'obs1:0'), 1):   -9.0 
(('obs0:0', 'obs1:1'), 0):   1.0 
(('obs0:0', 'obs1:1'), 1):   90.0 
(('obs0:0', 'obs1:2'), 0):   83.0 
(('obs0:0', 'obs1:2'), 1):   -9.0 
(('obs0:0', 'obs1:3'), 0):   1.0 
(('obs0:0', 'obs1:3'), 1):   84.0 
(('obs0:0', 'obs1:4'), 0):   94.0 
(('obs0:0', 'obs1:4'), 1):   -9.0 
(('obs0:0', 'obs1:5'), 0):   -9.0 
(('obs0:0', 'obs1:5'), 1):   91.0 
(('obs0:0', 'obs1:6'), 0):   93.0 
(('obs0:0', 'obs1:6'), 1):   1.0 
(('obs0:0', 'obs1:7'), 0):   1.0 
(('obs0:0', 'obs1:7'), 1):   100.0 
(('obs0:0', 'obs1:8'), 0):   113.0 
(('obs0:0', 'obs1:8'), 1):   -9.0 
(('obs0:0', 'obs1:9'), 0):   1.0 
(('obs0:0', 'obs1:9'), 1):   91.0 
(('obs0:1', 'obs1:0'), 0):   -9.0 
(('obs0:1', 'obs1:0'), 1):   85.0 
(('obs0:1', 'obs1:1'), 0):   102.0 
(('obs0:1', 'obs1:1'), 1):   1.0 
(('obs0:1', 'obs1:2'), 0):   1.0 
(('obs0:1', 'obs1:2'), 1):   92.0 
(('obs0:1', 'obs1:3'), 0):   77.0 
(('obs0:1', 'obs1:3'), 1):   -9.0 
(('obs0:1', 'obs1:4'), 0):   1.0 
(('obs0:1', 'obs1:4'), 1):   90.0 
(('obs0:1', 'obs1:5'), 0):   95.0 
(('obs0:1', 'obs1:5'), 1):   -9.0 
(('obs0:1', 'obs1:6'), 0):   -9.0 
(('obs0:1', 'obs1:6'), 1):   80.0 
(('obs0:1', 'obs1:7'), 0):   84.0 
(('obs0:1', 'obs1:7'), 1):   -9.0 
(('obs0:1', 'obs1:8'), 0):   -9.0 
(('obs0:1', 'obs1:8'), 1):   73.0 
(('obs0:1', 'obs1:9'), 0):   92.0 
(('obs0:1', 'obs1:9'), 1):   -9.0 
(('obs0:2', 'obs1:0'), 0):   86.0 
(('obs0:2', 'obs1:0'), 1):   -9.0 
(('obs0:2', 'obs1:1'), 0):   -9.0 
(('obs0:2', 'obs1:1'), 1):   117.0 
(('obs0:2', 'obs1:2'), 0):   87.0 
(('obs0:2', 'obs1:2'), 1):   -9.0 
(('obs0:2', 'obs1:3'), 0):   -9.0 
(('obs0:2', 'obs1:3'), 1):   85.0 
(('obs0:2', 'obs1:4'), 0):   103.0 
(('obs0:2', 'obs1:4'), 1):   -9.0 
(('obs0:2', 'obs1:5'), 0):   1.0 
(('obs0:2', 'obs1:5'), 1):   96.0 
(('obs0:2', 'obs1:6'), 0):   85.0 
(('obs0:2', 'obs1:6'), 1):   -9.0 
(('obs0:2', 'obs1:7'), 0):   1.0 
(('obs0:2', 'obs1:7'), 1):   84.0 
(('obs0:2', 'obs1:8'), 0):   111.0 
(('obs0:2', 'obs1:8'), 1):   1.0 
(('obs0:2', 'obs1:9'), 0):   -9.0 
(('obs0:2', 'obs1:9'), 1):   85.0 
(('obs0:3', 'obs1:0'), 0):   1.0 
(('obs0:3', 'obs1:0'), 1):   79.0 
(('obs0:3', 'obs1:1'), 0):   93.0 
(('obs0:3', 'obs1:1'), 1):   -9.0 
(('obs0:3', 'obs1:2'), 0):   -9.0 
(('obs0:3', 'obs1:2'), 1):   102.0 
(('obs0:3', 'obs1:3'), 0):   84.0 
(('obs0:3', 'obs1:3'), 1):   -9.0 
(('obs0:3', 'obs1:4'), 0):   -9.0 
(('obs0:3', 'obs1:4'), 1):   101.0 
(('obs0:3', 'obs1:5'), 0):   92.0 
(('obs0:3', 'obs1:5'), 1):   1.0 
(('obs0:3', 'obs1:6'), 0):   -9.0 
(('obs0:3', 'obs1:6'), 1):   110.0 
(('obs0:3', 'obs1:7'), 0):   89.0 
(('obs0:3', 'obs1:7'), 1):   -9.0 
(('obs0:3', 'obs1:8'), 0):   1.0 
(('obs0:3', 'obs1:8'), 1):   105.0 
(('obs0:3', 'obs1:9'), 0):   89.0 
(('obs0:3', 'obs1:9'), 1):   1.0 
(('obs0:4', 'obs1:0'), 0):   95.0 
(('obs0:4', 'obs1:0'), 1):   -9.0 
(('obs0:4', 'obs1:1'), 0):   -9.0 
(('obs0:4', 'obs1:1'), 1):   100.0 
(('obs0:4', 'obs1:2'), 0):   105.0 
(('obs0:4', 'obs1:2'), 1):   1.0 
(('obs0:4', 'obs1:3'), 0):   -9.0 
(('obs0:4', 'obs1:3'), 1):   119.0 
(('obs0:4', 'obs1:4'), 0):   103.0 
(('obs0:4', 'obs1:4'), 1):   -9.0 
(('obs0:4', 'obs1:5'), 0):   -9.0 
(('obs0:4', 'obs1:5'), 1):   98.0 
(('obs0:4', 'obs1:6'), 0):   90.0 
(('obs0:4', 'obs1:6'), 1):   1.0 
(('obs0:4', 'obs1:7'), 0):   -9.0 
(('obs0:4', 'obs1:7'), 1):   90.0 
(('obs0:4', 'obs1:8'), 0):   84.0 
(('obs0:4', 'obs1:8'), 1):   -9.0 
(('obs0:4', 'obs1:9'), 0):   -9.0 
(('obs0:4', 'obs1:9'), 1):   85.0 
(('obs0:5', 'obs1:0'), 0):   1.0 
(('obs0:5', 'obs1:0'), 1):   96.0 
(('obs0:5', 'obs1:1'), 0):   92.0 
(('obs0:5', 'obs1:1'), 1):   -9.0 
(('obs0:5', 'obs1:2'), 0):   1.0 
(('obs0:5', 'obs1:2'), 1):   97.0 
(('obs0:5', 'obs1:3'), 0):   93.0 
(('obs0:5', 'obs1:3'), 1):   1.0 
(('obs0:5', 'obs1:4'), 0):   -9.0 
(('obs0:5', 'obs1:4'), 1):   101.0 
