(('obs0:0', 'obs1:10', 'obs2:23'), 2):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 3):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 4):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 5):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 6):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 7):   1.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 8):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:23'), 9):   -10.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 0):   -10.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 1):   19.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 2):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 3):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 4):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 5):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 6):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 7):   1.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 8):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:14'), 9):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 0):   1.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 1):   37.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 2):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 3):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 4):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 5):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 6):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 7):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 8):   1.0 
(('obs0:0', 'obs1:11', 'obs2:15'), 9):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 0):   -10.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 1):   35.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 2):   1.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 3):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 4):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 5):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 6):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 7):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 8):   -9.0 
(('obs0:0', 'obs1:11', 'obs2:16'), 9):   -9.0 
