(('obs0:0', 'obs1:10', 'obs2:14'), 0):   47.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 1):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 2):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 3):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 4):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 5):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 6):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 7):   1.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 8):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:14'), 9):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 0):   29.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 1):   1.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 2):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 3):   1.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 4):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 5):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 6):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 7):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 8):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:15'), 9):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 0):   63.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 1):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 2):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 3):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 4):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 5):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 6):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 7):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 8):   1.0 
(('obs0:0', 'obs1:10', 'obs2:16'), 9):   1.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 0):   29.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 1):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 2):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 3):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 4):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 5):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 6):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 7):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 8):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:17'), 9):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 0):   45.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 1):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 2):   1.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 3):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 4):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 5):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 6):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 7):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 8):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:18'), 9):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 0):   51.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 1):   1.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 2):   -10.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 3):   1.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 4):   1.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 5):   1.0 
(('obs0:0', 'obs1:10', 'obs2:19'), 6):   1.0 
