(('obs0:1', 'obs1:12'), 4):   -9.0 
(('obs0:1', 'obs1:12'), 5):   -9.0 
(('obs0:1', 'obs1:12'), 6):   -9.0 
(('obs0:1', 'obs1:12'), 7):   1.0 
(('obs0:1', 'obs1:12'), 8):   1.0 
(('obs0:1', 'obs1:12'), 9):   -9.0 
(('obs0:1', 'obs1:13'), 0):   -10.0 
(('obs0:1', 'obs1:13'), 1):   437.0 
(('obs0:1', 'obs1:13'), 2):   -10.0 
(('obs0:1', 'obs1:13'), 3):   -10.0 
(('obs0:1', 'obs1:13'), 4):   1.0 
(('obs0:1', 'obs1:13'), 5):   -10.0 
(('obs0:1', 'obs1:13'), 6):   -10.0 
(('obs0:1', 'obs1:13'), 7):   -10.0 
(('obs0:1', 'obs1:13'), 8):   -10.0 
(('obs0:1', 'obs1:13'), 9):   -10.0 
(('obs0:2', 'obs1:10'), 0):   -10.0 
(('obs0:2', 'obs1:10'), 1):   1.0 
(('obs0:2', 'obs1:10'), 2):   511.0 
(('obs0:2', 'obs1:10'), 3):   1.0 
(('obs0:2', 'obs1:10'), 4):   1.0 
(('obs0:2', 'obs1:10'), 5):   1.0 
(('obs0:2', 'obs1:10'), 6):   -10.0 
(('obs0:2', 'obs1:10'), 7):   1.0 
(('obs0:2', 'obs1:10'), 8):   -10.0 
(('obs0:2', 'obs1:10'), 9):   1.0 
(('obs0:2', 'obs1:11'), 0):   1.0 
(('obs0:2', 'obs1:11'), 1):   -9.0 
(('obs0:2', 'obs1:11'), 2):   1.0 
(('obs0:2', 'obs1:11'), 3):   485.0 
(('obs0:2', 'obs1:11'), 4):   1.0 
(('obs0:2', 'obs1:11'), 5):   1.0 
(('obs0:2', 'obs1:11'), 6):   1.0 
(('obs0:2', 'obs1:11'), 7):   1.0 
(('obs0:2', 'obs1:11'), 8):   1.0 
(('obs0:2', 'obs1:11'), 9):   -9.0 
(('obs0:2', 'obs1:12'), 0):   -10.0 
(('obs0:2', 'obs1:12'), 1):   -10.0 
(('obs0:2', 'obs1:12'), 2):   393.0 
(('obs0:2', 'obs1:12'), 3):   -10.0 
(('obs0:2', 'obs1:12'), 4):   -10.0 
(('obs0:2', 'obs1:12'), 5):   1.0 
(('obs0:2', 'obs1:12'), 6):   -10.0 
(('obs0:2', 'obs1:12'), 7):   -10.0 
(('obs0:2', 'obs1:12'), 8):   -10.0 
(('obs0:2', 'obs1:12'), 9):   -10.0 
(('obs0:2', 'obs1:13'), 0):   1.0 
(('obs0:2', 'obs1:13'), 1):   1.0 
(('obs0:2', 'obs1:13'), 2):   -10.0 
(('obs0:2', 'obs1:13'), 3):   515.0 
(('obs0:2', 'obs1:13'), 4):   1.0 
(('obs0:2', 'obs1:13'), 5):   1.0 
(('obs0:2', 'obs1:13'), 6):   1.0 
(('obs0:2', 'obs1:13'), 7):   1.0 
(('obs0:2', 'obs1:13'), 8):   1.0 
(('obs0:2', 'obs1:13'), 9):   1.0 
(('obs0:3', 'obs1:10'), 0):   1.0 
(('obs0:3', 'obs1:10'), 1):   -9.0 
(('obs0:3', 'obs1:10'), 2):   -9.0 
(('obs0:3', 'obs1:10'), 3):   -10.0 
(('obs0:3', 'obs1:10'), 4):   409.0 
(('obs0:3', 'obs1:10'), 5):   -9.0 
(('obs0:3', 'obs1:10'), 6):   -9.0 
(('obs0:3', 'obs1:10'), 7):   1.0 
(('obs0:3', 'obs1:10'), 8):   -9.0 
(('obs0:3', 'obs1:10'), 9):   1.0 
(('obs0:3', 'obs1:11'), 0):   1.0 
(('obs0:3', 'obs1:11'), 1):   1.0 
(('obs0:3', 'obs1:11'), 2):   1.0 
(('obs0:3', 'obs1:11'), 3):   505.0 
(('obs0:3', 'obs1:11'), 4):   -10.0 
(('obs0:3', 'obs1:11'), 5):   -10.0 
(('obs0:3', 'obs1:11'), 6):   -10.0 
(('obs0:3', 'obs1:11'), 7):   1.0 
(('obs0:3', 'obs1:11'), 8):   -10.0 
(('obs0:3', 'obs1:11'), 9):   1.0 
(('obs0:3', 'obs1:12'), 0):   1.0 
(('obs0:3', 'obs1:12'), 1):   1.0 
(('obs0:3', 'obs1:12'), 2):   1.0 
(('obs0:3', 'obs1:12'), 3):   1.0 
(('obs0:3', 'obs1:12'), 4):   481.0 
(('obs0:3', 'obs1:12'), 5):   1.0 
(('obs0:3', 'obs1:12'), 6):   1.0 
(('obs0:3', 'obs1:12'), 7):   1.0 
(('obs0:3', 'obs1:12'), 8):   -9.0 
(('obs0:3', 'obs1:12'), 9):   1.0 
(('obs0:3', 'obs1:13'), 0):   1.0 
(('obs0:3', 'obs1:13'), 1):   1.0 
(('obs0:3', 'obs1:13'), 2):   1.0 
(('obs0:3', 'obs1:13'), 3):   481.0 
(('obs0:3', 'obs1:13'), 4):   1.0 
(('obs0:3', 'obs1:13'), 5):   1.0 
(('obs0:3', 'obs1:13'), 6):   -10.0 
(('obs0:3', 'obs1:13'), 7):   1.0 
(('obs0:3', 'obs1:13'), 8):   1.0 
(('obs0:3', 'obs1:13'), 9):   1.0 
(('obs0:4', 'obs1:10'), 0):   1.0 
(('obs0:4', 'obs1:10'), 1):   -10.0 
(('obs0:4', 'obs1:10'), 2):   -10.0 
(('obs0:4', 'obs1:10'), 3):   1.0 
(('obs0:4', 'obs1:10'), 4):   485.0 
(('obs0:4', 'obs1:10'), 5):   1.0 
(('obs0:4', 'obs1:10'), 6):   1.0 
(('obs0:4', 'obs1:10'), 7):   1.0 
(('obs0:4', 'obs1:10'), 8):   -10.0 
(('obs0:4', 'obs1:10'), 9):   1.0 
(('obs0:4', 'obs1:11'), 0):   -9.0 
(('obs0:4', 'obs1:11'), 1):   -9.0 
(('obs0:4', 'obs1:11'), 2):   -9.0 
(('obs0:4', 'obs1:11'), 3):   -9.0 
(('obs0:4', 'obs1:11'), 4):   -10.0 
(('obs0:4', 'obs1:11'), 5):   349.0 
(('obs0:4', 'obs1:11'), 6):   -9.0 
(('obs0:4', 'obs1:11'), 7):   -9.0 
(('obs0:4', 'obs1:11'), 8):   -9.0 
(('obs0:4', 'obs1:11'), 9):   -9.0 
(('obs0:4', 'obs1:12'), 0):   -10.0 
(('obs0:4', 'obs1:12'), 1):   1.0 
(('obs0:4', 'obs1:12'), 2):   1.0 
(('obs0:4', 'obs1:12'), 3):   1.0 
(('obs0:4', 'obs1:12'), 4):   435.0 
(('obs0:4', 'obs1:12'), 5):   1.0 
(('obs0:4', 'obs1:12'), 6):   1.0 
(('obs0:4', 'obs1:12'), 7):   -10.0 
(('obs0:4', 'obs1:12'), 8):   -10.0 
(('obs0:4', 'obs1:12'), 9):   -10.0 
(('obs0:4', 'obs1:13'), 0):   -9.0 
(('obs0:4', 'obs1:13'), 1):   -9.0 
(('obs0:4', 'obs1:13'), 2):   -9.0 
(('obs0:4', 'obs1:13'), 3):   -9.0 
(('obs0:4', 'obs1:13'), 4):   1.0 
(('obs0:4', 'obs1:13'), 5):   455.0 
(('obs0:4', 'obs1:13'), 6):   1.0 
(('obs0:4', 'obs1:13'), 7):   1.0 
(('obs0:4', 'obs1:13'), 8):   -9.0 
(('obs0:4', 'obs1:13'), 9):   1.0 
(('obs0:5', 'obs1:10'), 0):   -9.0 
(('obs0:5', 'obs1:10'), 1):   -9.0 
(('obs0:5', 'obs1:10'), 2):   -9.0 
(('obs0:5', 'obs1:10'), 3):   -9.0 
(('obs0:5', 'obs1:10'), 4):   -9.0 
(('obs0:5', 'obs1:10'), 5):   -10.0 
(('obs0:5', 'obs1:10'), 6):   443.0 
(('obs0:5', 'obs1:10'), 7):   -9.0 
(('obs0:5', 'obs1:10'), 8):   -9.0 
